Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HS,AS,HST,AST,HC,AC,Season,Home_EMA_Points,Home_EMA_GS,Home_EMA_GC,Away_EMA_Points,Away_EMA_GS,Away_EMA_GC,Home_Expected_Offense,Away_Expected_Offense,Target
2015-11-28,Barcelona,Sociedad,4,0,H,11,10,6,2,6,4,15-16,2.8097850937357114,3.1304509813883388,0.4472217988450272,1.4014293214110318,1.4864603972971602,1.1999525817541368,0.0,0.0,2
2015-11-28,Celta,Sp Gijon,2,1,H,6,9,4,2,3,5,15-16,0.8733763484563672,1.0969082174691078,2.5355665069123385,0.6983352808684317,0.5212620027434846,1.8921742959237247,0.0,0.0,2
2015-11-28,Las Palmas,La Coruna,0,2,A,8,10,5,5,6,4,15-16,1.1717443704945611,1.0202204948432658,1.2380508842938354,1.669782722823418,1.3972350646638105,0.8164631633615022,0.0,0.0,0
2015-11-28,Malaga,Granada,2,2,D,12,11,7,4,7,4,15-16,0.47747915572942273,0.3292181069958849,1.3167595273981496,1.3739944791613745,1.409021885778478,1.1000581438014758,0.0,0.0,1
2015-11-29,Sevilla,Valencia,1,0,H,15,0,5,0,17,0,15-16,1.2685171072612016,1.571745499500415,1.6667174719300921,1.7861267760673345,2.272796039447465,0.9100633936786964,0.0,0.0,2
2015-11-29,Vallecano,Ath Bilbao,0,3,A,15,10,3,4,6,2,15-16,1.4054034220167435,1.3249843350437773,1.2713678470422871,1.660214398211655,1.5070873342478286,1.3224497169017824,0.0,0.0,0
2015-11-29,Eibar,Real Madrid,0,2,A,8,17,3,6,6,5,15-16,1.7514437162356689,1.515075050664138,1.0235510621122574,1.1638921347807192,1.5595635263368843,2.3103185490016767,0.0,0.0,0
2015-11-29,Getafe,Villarreal,2,0,H,11,7,5,0,6,6,15-16,0.7015698826398418,0.9341789587179011,1.8782762338622727,1.1167956555854746,0.8381795909611793,1.3627495808565768,0.0,0.0,2
2015-12-05,Valencia,Barcelona,1,1,D,10,16,3,5,0,6,15-16,1.1907511840448899,1.5151973596316435,0.9400422624524643,2.8731900624904743,3.4203006542588925,0.29814786589668485,0.0,0.0,1
2015-12-05,Betis,Celta,1,1,D,27,5,6,1,8,0,15-16,1.6903268660114672,0.8140263923935114,0.7885466119475165,1.5822508989709116,1.397938811646072,2.023711004608226,0.0,0.0,1
2015-12-05,Granada,Ath Madrid,0,2,A,18,11,3,4,6,8,15-16,1.2493296527742497,1.6060145905189853,1.4000387625343174,2.668072278954767,1.1196144068673666,0.2249431263301101,0.0,0.0,0
2015-12-05,La Coruna,Sevilla,1,1,D,8,8,4,2,6,2,15-16,2.113188481882279,1.5981567097758738,0.5443087755743349,1.8456780715074679,1.38116366633361,1.1111449812867282,0.0,0.0,1
2015-12-05,Real Madrid,Getafe,4,1,H,16,7,8,3,3,4,15-16,1.7759280898538128,1.7063756842245896,1.540212366001118,1.467713255093228,1.2894526391452674,1.2521841559081819,0.0,0.0,2
2015-12-06,Sp Gijon,Las Palmas,3,1,H,21,12,9,7,8,4,15-16,0.46555685391228785,0.680841335162323,1.9281161972824832,0.7811629136630408,0.6801469965621773,1.492033922862557,0.0,0.0,2
2015-12-06,Sociedad,Eibar,2,1,H,10,5,7,1,4,3,15-16,0.9342862142740214,0.9909735981981069,2.1333017211694245,1.1676291441571127,1.010050033776092,1.3490340414081716,0.0,0.0,2
2015-12-06,Villarreal,Vallecano,2,1,H,14,8,5,4,5,4,15-16,0.7445304370569831,0.5587863939741197,1.575166387237718,0.9369356146778292,0.883322890029185,1.8475785646948581,0.0,0.0,2
2015-12-06,Ath Bilbao,Malaga,0,0,D,11,7,2,2,6,1,15-16,2.10680959880777,2.0047248894985525,0.8816331446011884,0.6516527704862818,0.8861454046639232,1.5445063515987665,0.0,0.0,1
2015-12-07,Espanol,Levante,1,1,D,9,12,1,5,2,6,15-16,0.9852721186359354,0.9028885614771915,1.150462610148634,0.9252466407371658,0.8922495629806508,1.313257727574651,0.0,0.0,1
2015-12-11,Getafe,Sociedad,1,1,D,9,10,5,6,5,5,15-16,0.9784755033954854,1.192968426096845,2.1681227706054544,1.622857476182681,1.3273157321320712,1.7555344807796165,0.0,0.0,1
2015-12-12,Las Palmas,Betis,1,0,H,16,8,4,2,2,2,15-16,0.5207752757753606,0.7867646643747849,1.9946892819083715,1.4602179106743116,0.8760175949290077,0.8590310746316777,0.0,0.0,2
